translation_, rotation_
290.005,74.991, 22.582
290.005,74.991, 22.728
290.005,74.991, 22.932
290.005,74.991, 23.194
290.005,74.991, 23.515
290.005,74.991, 23.894
290.005,74.991, 24.332
290.005,74.991, 24.828
290.005,74.991, 25.382
290.005,74.991, 25.994
290.005,74.991, 26.665
290.005,74.991, 27.394
290.005,74.991, 28.181
290.005,74.991, 29.027
290.005,74.991, 29.931
290.005,74.991, 30.894
290.005,74.991, 31.914
290.005,74.991, 32.994
290.005,74.991, 34.131
290.005,74.991, 35.327
290.005,74.991, 36.581
290.005,74.991, 37.893
290.005,74.991, 39.264
290.005,74.991, 40.693
290.005,74.991, 42.180
290.005,74.991, 43.726
290.005,74.991, 45.330
290.005,74.991, 46.992
290.005,74.991, 48.713
290.005,74.991, 50.492
290.005,74.991, 52.329
290.005,74.991, 54.225
290.005,74.991, 56.179
290.005,74.991, 58.191
290.005,74.991, 60.262
290.005,74.991, 62.391
290.005,74.991, 64.578
290.005,74.991, 66.824
290.005,74.991, 69.128
290.005,74.991, 71.490
290.005,74.991, 73.910
290.005,74.991, 76.389
290.005,74.991, 78.927
290.005,74.991, 81.522
290.005,74.991, 84.176
290.005,74.991, 86.888
290.005,74.991, 89.659
290.005,74.991, 92.488
290.005,74.991, 95.375
290.005,74.991, 98.240
290.005,74.991, 101.072
290.005,74.991, 103.871
290.005,74.991, 106.619
290.005,74.991, 109.308
290.005,74.991, 111.939
290.005,74.991, 114.512
290.005,74.991, 117.026
290.005,74.991, 119.482
290.005,74.991, 121.880
290.005,74.991, 124.220
290.005,74.991, 126.501
290.005,74.991, 128.723
290.005,74.991, 130.888
290.005,74.991, 132.994
290.005,74.991, 135.042
290.005,74.991, 137.031
290.005,74.991, 138.962
290.005,74.991, 140.835
290.005,74.991, 142.650
290.005,74.991, 144.406
290.005,74.991, 146.104
290.005,74.991, 147.743
290.005,74.991, 149.324
290.005,74.991, 150.847
290.005,74.991, 152.312
290.005,74.991, 153.718
290.005,74.991, 155.066
290.005,74.991, 156.355
290.005,74.991, 157.587
290.005,74.991, 158.760
290.005,74.991, 159.874
290.005,74.991, 160.930
290.005,74.991, 161.928
290.005,74.991, 162.868
290.005,74.991, 163.749
290.005,74.991, 164.572
290.005,74.991, 165.337
290.005,74.991, 166.043
290.005,74.991, 166.691
290.005,74.991, 167.280
290.005,74.991, 167.812
290.005,74.991, 168.285
290.005,74.991, 168.699
290.005,74.991, 169.055
290.005,74.991, 169.353
290.005,74.991, 169.593
290.005,74.991, 169.774
290.005,74.991, 169.897
290.005,74.991, 169.962
290.005,74.991, 169.968
290.005,74.991, 169.968
289.986,74.995, 169.968
289.954,75.000, 169.968
289.909,75.008, 169.968
289.852,75.019, 169.968
289.781,75.031, 169.968
289.698,75.046, 169.968
289.602,75.063, 169.967
289.493,75.082, 169.966
289.372,75.103, 169.965
289.237,75.127, 169.963
289.090,75.153, 169.961
288.930,75.182, 169.959
288.757,75.212, 169.955
288.572,75.245, 169.951
288.373,75.280, 169.946
288.162,75.318, 169.940
287.938,75.357, 169.933
287.701,75.400, 169.925
287.452,75.444, 169.915
287.189,75.491, 169.903
286.914,75.540, 169.890
286.626,75.591, 169.876
286.325,75.645, 169.859
286.012,75.701, 169.840
285.686,75.759, 169.819
285.347,75.820, 169.796
284.995,75.884, 169.770
284.630,75.950, 169.741
284.253,76.018, 169.710
283.863,76.089, 169.675
283.460,76.163, 169.637
283.044,76.239, 169.596
282.616,76.318, 169.551
282.175,76.399, 169.503
281.721,76.483, 169.450
281.255,76.570, 169.393
280.776,76.660, 169.332
280.284,76.753, 169.266
279.779,76.849, 169.195
279.262,76.948, 169.119
278.733,77.051, 169.039
278.190,77.156, 168.953
277.635,77.265, 168.862
277.068,77.377, 168.765
276.488,77.493, 168.664
275.895,77.612, 168.556
275.290,77.735, 168.445
274.672,77.862, 168.329
274.042,77.993, 168.208
273.400,78.128, 168.084
272.745,78.267, 167.959
272.078,78.410, 167.833
271.398,78.557, 167.707
270.706,78.709, 167.585
270.001,78.865, 167.467
269.284,79.025, 167.356
268.555,79.189, 167.257
267.814,79.357, 167.170
267.060,79.530, 167.100
266.293,79.706, 167.050
265.518,79.884, 167.022
264.738,80.064, 167.018
263.951,80.245, 167.040
263.181,80.422, 167.083
262.423,80.595, 167.148
261.678,80.765, 167.231
260.945,80.930, 167.326
260.225,81.091, 167.434
259.517,81.249, 167.550
258.821,81.401, 167.671
258.138,81.550, 167.797
257.467,81.694, 167.923
256.808,81.834, 168.049
256.162,81.970, 168.174
255.529,82.102, 168.295
254.907,82.230, 168.412
254.299,82.355, 168.525
253.703,82.475, 168.634
253.119,82.592, 168.737
252.548,82.705, 168.835
251.989,82.815, 168.927
251.443,82.921, 169.015
250.910,83.024, 169.097
250.389,83.124, 169.174
249.881,83.221, 169.246
249.386,83.315, 169.314
248.903,83.406, 169.376
248.433,83.494, 169.434
247.976,83.579, 169.488
247.531,83.661, 169.538
247.099,83.741, 169.584
246.680,83.817, 169.626
246.273,83.892, 169.665
245.880,83.963, 169.701
245.499,84.033, 169.733
245.130,84.099, 169.762
244.775,84.163, 169.789
244.432,84.225, 169.813
244.102,84.284, 169.835
243.785,84.341, 169.854
243.481,84.395, 169.871
243.189,84.447, 169.886
242.910,84.497, 169.900
242.644,84.544, 169.912
242.391,84.590, 169.922
242.151,84.632, 169.931
241.923,84.673, 169.938
241.708,84.711, 169.944
241.506,84.747, 169.949
241.317,84.780, 169.954
241.140,84.811, 169.957
240.977,84.840, 169.960
240.826,84.867, 169.962
240.688,84.892, 169.964
240.562,84.914, 169.965
240.450,84.934, 169.966
240.350,84.951, 169.967
240.263,84.967, 169.967
240.189,84.980, 169.967
240.128,84.991, 169.968
240.079,84.999, 169.968
240.044,85.005, 169.968
240.021,85.009, 169.968
240.011,85.011, 169.968
240.014,85.011, 169.968
240.014,85.011, 169.968
240.014,85.011, 170.055
240.014,85.011, 170.201
240.014,85.011, 170.405
240.014,85.011, 170.668
240.014,85.011, 170.988
240.014,85.011, 171.367
240.014,85.011, 171.805
240.014,85.011, 172.301
240.014,85.011, 172.855
240.014,85.011, 173.467
240.014,85.011, 174.138
240.014,85.011, 174.867
240.014,85.011, 175.655
240.014,85.011, 176.500
240.014,85.011, 177.404
240.014,85.011, 178.367
240.014,85.011, 179.388
240.014,85.011, -179.533
240.014,85.011, -178.396
240.014,85.011, -177.200
240.014,85.011, -175.946
240.014,85.011, -174.634
240.014,85.011, -173.263
240.014,85.011, -171.834
240.014,85.011, -170.347
240.014,85.011, -168.801
240.014,85.011, -167.197
240.014,85.011, -165.535
240.014,85.011, -163.814
240.014,85.011, -162.035
240.014,85.011, -160.198
240.014,85.011, -158.302
240.014,85.011, -156.348
240.014,85.011, -154.336
240.014,85.011, -152.265
240.014,85.011, -150.136
240.014,85.011, -147.949
240.014,85.011, -145.703
240.014,85.011, -143.399
240.014,85.011, -141.037
240.014,85.011, -138.617
240.014,85.011, -136.138
240.014,85.011, -133.600
240.014,85.011, -131.005
240.014,85.011, -128.351
240.014,85.011, -125.639
240.014,85.011, -122.868
240.014,85.011, -120.039
240.014,85.011, -117.152
240.014,85.011, -114.206
240.014,85.011, -111.202
240.014,85.011, -108.140
240.014,85.011, -105.020
240.014,85.011, -101.841
240.014,85.011, -98.604
240.014,85.011, -95.425
240.014,85.011, -92.301
240.014,85.011, -89.232
240.014,85.011, -86.221
240.014,85.011, -83.270
240.014,85.011, -80.376
240.014,85.011, -77.541
240.014,85.011, -74.764
240.014,85.011, -72.045
240.014,85.011, -69.385
240.014,85.011, -66.783
240.014,85.011, -64.240
240.014,85.011, -61.755
240.014,85.011, -59.328
240.014,85.011, -56.959
240.014,85.011, -54.649
240.014,85.011, -52.397
240.014,85.011, -50.203
240.014,85.011, -48.068
240.014,85.011, -45.991
240.014,85.011, -43.973
240.014,85.011, -42.012
240.014,85.011, -40.110
240.014,85.011, -38.267
